pais,departamento,provincia,municipio,circunscripcion,tipo_cargo,titular_suplente,posicion,nombre,genero,sigla,no,twitter,perfil_facebook,pagina_facebook,pagina_web,Patrimonio_fecha,total_bienes,valor_bienes,rentas,deudas,Denuncia_fecha,denunciante,tipo,contenido,fuente
Bolivia,Chuquisaca,,,,Senador,Titular,1,Silvia Gilma Salame Farjat,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Chuquisaca,,,,Senador,Suplente,1,Jorge Antonio Zamora Tardio,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Chuquisaca,,,,Senador,Titular,2,Santiago Ticona Yupari,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Chuquisaca,,,,Senador,Suplente,2,Sarai Betsabeth Reinaga La Madrid,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Chuquisaca,,,,Senador,Titular,1,Roberto Padilla Bedoya,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Chuquisaca,,,,Senador,Suplente,1,Laura Miguelina Parraga León,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Chuquisaca,,,,Senador,Titular,2,Trinidad Rocha Robles,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Chuquisaca,,,,Senador,Suplente,2,Germán Moscoso Arancibia,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Senador,Titular,1,Cecilia Isabel Requena Zarate,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Senador,Suplente,1,Porfirio Ovidio Menacho Tarquino,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Senador,Titular,1,Virginia Velasco Condori,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Senador,Suplente,1,Hilarion Padilla Mamani,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Senador,Titular,2,Felix Ajpi,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Senador,Suplente,2,Yolanda María Ponce Condo,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Senador,Titular,3,Simona Quispe Apaza,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Senador,Suplente,3,Guido José Varela Mancilla,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Senador,Titular,1,Andrea Bruna Barrientos Sahonero,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Senador,Suplente,1,Luis Guillermo Silvestre Seoane Flores,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Senador,Titular,1,Leonardo Loza,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Senador,Suplente,1,Lucy Sara Escobar Velasco,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Senador,Titular,2,María Patricia Arce Guzmán,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Senador,Suplente,2,Hermo Pérez,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Senador,Titular,3,Andrónico Rodriguez Ledezma,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Senador,Suplente,3,Emiliana Dilma Cabrera,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Oruro,,,,Senador,Titular,1,María Vania Rocha Muñoz,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Oruro,,,,Senador,Suplente,1,Enrique Fernando Dehne Franco,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Oruro,,,,Senador,Titular,1,Miguel Pérez Sandoval,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Oruro,,,,Senador,Suplente,1,Mery Rosalia Choque Torrez,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Oruro,,,,Senador,Titular,2,Lindaura Rasguido Mejia,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Oruro,,,,Senador,Suplente,2,Gilmar Huarachi,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Oruro,,,,Senador,Titular,3,Rubén Gutiérrez Carrizo,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Oruro,,,,Senador,Suplente,3,Laura Marlene Lujan Condori,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Potosí,,,,Senador,Titular,1,Daly Cristina Santa María Aguirre,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Potosí,,,,Senador,Suplente,1,Pedro Lagrava Burgoa,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Potosí,,,,Senador,Titular,1,Hilarión Mamani Navarro,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Potosí,,,,Senador,Suplente,1,Elena Judith Aguilar Flores,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Potosí,,,,Senador,Titular,2,Ana María Castillo Negrette,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Potosí,,,,Senador,Suplente,2,Santos Ramos Socpaza,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Potosí,,,,Senador,Titular,3,Pedro Benjamín Vargas Fernandez,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Potosí,,,,Senador,Suplente,3,Hilda Vega Rocha,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Tarija,,,,Senador,Titular,1,Rodrigo Paz Pereira,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Tarija,,,,Senador,Suplente,1,Elizabet Zoya Zamora Arce,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Tarija,,,,Senador,Titular,2,Nely Verónica Gallo Soruco,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Tarija,,,,Senador,Suplente,2,Javier Franz Martinez Espinoza,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Tarija,,,,Senador,Titular,1,Gladys Valentina Alarcon Farfan,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Tarija,,,,Senador,Suplente,1,Luis Edgar Casso Vaca,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Tarija,,,,Senador,Titular,2,Miguel Ángel Rejas Vargas,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Tarija,,,,Senador,Suplente,2,Natividad Aramayo Paredes,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Senador,Titular,1,Centa Lothy Rek López,Femenino,CREEMOS,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Senador,Suplente,1,Zvonko Matkovic Ribera,Masculino,CREEMOS,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Senador,Titular,2,Henry Omar Montero Mendoza,Masculino,CREEMOS,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Senador,Suplente,2,Paola Andrea Fernandez Rea,Femenino,CREEMOS,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Senador,Titular,1,Soledad Flores Velasquez,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Senador,Suplente,1,William Torrez Tordoya,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Senador,Titular,2,Isidoro Quispe Huanca,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Senador,Suplente,2,María Muñoz Rodriguez,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Beni,,,,Senador,Titular,1,Cecilia Moyoviri Moye,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Beni,,,,Senador,Suplente,1,Fernando Alfonso Vaca Suarez,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Beni,,,,Senador,Titular,2,Walter Jesús Justiniano Martínez,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Beni,,,,Senador,Suplente,2,Neila Velarde Salas,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Beni,,,,Senador,Titular,1,Claudia Elena Eguez Algarañaz,Femenino,CREEMOS,,,,,,,,,,,,,,,
Bolivia,Beni,,,,Senador,Suplente,1,Javier Villavicencio,Masculino,CREEMOS,,,,,,,,,,,,,,,
Bolivia,Beni,,,,Senador,Titular,1,María Roxana Nacif Barboza,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Beni,,,,Senador,Suplente,1,Misdrael Mamani Arenas,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Pando,,,,Senador,Titular,1,Corina Ferreira Dominguez,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Pando,,,,Senador,Suplente,1,Walter Buitrago Moscoso,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Pando,,,,Senador,Titular,1,Julio Diego Romaña Galindo,Masculino,CREEMOS,,,,,,,,,,,,,,,
Bolivia,Pando,,,,Senador,Suplente,1,Dulce María Araujo Dominguez,Femenino,CREEMOS,,,,,,,,,,,,,,,
Bolivia,Pando,,,,Senador,Titular,1,Eva Luz Humerez Alvez,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Pando,,,,Senador,Suplente,1,Ermenegildo Llavera Chusgo,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Pando,,,,Senador,Titular,2,Luis Adolfo Flores Roberts,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Pando,,,,Senador,Suplente,2,Paula Paxi Suxo,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Chuquisaca,,,,Diputado plurinominal,Titular,1,Pamela Soraya Alurralde Barea,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Chuquisaca,,,,Diputado plurinominal,Suplente,1,William Marcelo Solis Valencia,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Chuquisaca,,,,Diputado plurinominal,Titular,2,Erick Marcelo Pedrazas López,Masculino,CC,,,,,,,,,,,,,,,
