,nombre,departamento,enlace,url_imagen
0,Ana María Castillo Negrette ,Potosí,https://web.senado.gob.bo/senadoras-es/ana-mar%C3%ADa-castillo-negrette,https://web.senado.gob.bo/sites/default/files/sentitulares12.jpg
1,Andrónico Rodríguez Ledezma,Cochabamba,https://web.senado.gob.bo/senadoras-es/monica-eva-copa-murga,https://web.senado.gob.bo/sites/default/files/andronico_0.jpg
2,Eva Luz Humerez Alvez,Pando,https://web.senado.gob.bo/senadoras-es/eva-luz-humerez-alvez,https://web.senado.gob.bo/sites/default/files/sentitulares30.jpg
3,Felix Ajpi Ajpi,La Paz,https://web.senado.gob.bo/senadoras-es/felix-ajpi-ajpi,https://web.senado.gob.bo/sites/default/files/sentitulares25.jpg
4,Gladys Valentina Alarcón Farfán,Tarija,https://web.senado.gob.bo/senadoras-es/gladys-valentina-alarc%C3%B3n-farf%C3%A1n,https://web.senado.gob.bo/sites/default/files/WhatsApp%20Image%202020-11-11%20at%2009.15.05.jpeg
5,Hilarión Mamani Navarro,Potosí,https://web.senado.gob.bo/senadoras-es/hilari%C3%B3n-mamani-navarro,https://web.senado.gob.bo/sites/default/files/sentitulares9.jpg
6,Isidoro Quispe Huanca,Santa Cruz,https://web.senado.gob.bo/senadoras-es/isidoro-quispe-huanca,https://web.senado.gob.bo/sites/default/files/sentitulares13.jpg
7,Leonardo Loza,Cochabamba,https://web.senado.gob.bo/senadoras-es/leonardo-loza,https://web.senado.gob.bo/sites/default/files/sentitulares27.jpg
8,Lindaura Rasguido Mejía,Oruro,https://web.senado.gob.bo/senadoras-es/lindaura-rasguido-mej%C3%ADa,https://web.senado.gob.bo/sites/default/files/WhatsApp%20Image%202020-11-11%20at%209.15.20%20AM.jpeg
9,Luis Adolfo Flores Roberts,Pando,https://web.senado.gob.bo/senadoras-es/luis-adolfo-flores-roberts,https://web.senado.gob.bo/sites/default/files/sentitularesFLORES.jpg
10,María Patricia Arce Guzmán,Cochabamba,https://web.senado.gob.bo/senadoras-es/mar%C3%ADa-patricia-arce-guzm%C3%A1n,https://web.senado.gob.bo/sites/default/files/sentitulares11.jpg
11,María Roxana Nacif Barboza,Beni,https://web.senado.gob.bo/senadoras-es/mar%C3%ADa-roxana-nacif-barboza,https://web.senado.gob.bo/sites/default/files/WhatsApp%20Image%202020-11-11%20at%2009.15.03.jpeg
12,Miguel Ángel Rejas Vargas ,Tarija,https://web.senado.gob.bo/senadoras-es/miguel-%C3%A1ngel-rejas-vargas,https://web.senado.gob.bo/sites/default/files/sentitulares15.jpg
13,Miguel Pérez Sandoval,Oruro,https://web.senado.gob.bo/senadoras-es/miguel-p%C3%A9rez-sandoval,https://web.senado.gob.bo/sites/default/files/WhatsApp%20Image%202021-05-20%20at%204.11.58%20PM.jpeg
14,Pedro Benjamín Vargas Fernández,Potosí,https://web.senado.gob.bo/senadoras-es/pedro-benjam%C3%ADn-vargas-fern%C3%A1ndez,https://web.senado.gob.bo/sites/default/files/sentitulares24.jpg
15,Roberto Padilla Bedoya,Chuquisaca,https://web.senado.gob.bo/senadoras-es/roberto-padilla-bedoya,https://web.senado.gob.bo/sites/default/files/sentitulares26.jpg
16,Rubén Gutiérrez Carrizo ,Oruro,https://web.senado.gob.bo/senadoras-es/rub%C3%A9n-guti%C3%A9rrez-carrizo,https://web.senado.gob.bo/sites/default/files/WhatsApp%20Image%202020-11-11%20at%2014.38.14.jpeg
17,Simona Quispe Apaza,La Paz,https://web.senado.gob.bo/senadoras-es/simona-quispe-apaza,https://web.senado.gob.bo/sites/default/files/sentitulares7.jpg
18,Soledad Flores Velasquez,Santa Cruz,https://web.senado.gob.bo/senadoras-es/soledad-flores-velasquez,https://web.senado.gob.bo/sites/default/files/sentitulares6.jpg
19,Trinidad Rocha Robles,Chuquisaca,https://web.senado.gob.bo/senadoras-es/trinidad-rocha-robles,https://web.senado.gob.bo/sites/default/files/sentitulares14.jpg
20,Virginia Velasco Condori,La Paz,https://web.senado.gob.bo/senadoras-es/virginia-velasco-condori,https://web.senado.gob.bo/sites/default/files/sentitulares17.jpg
21,Andrea Bruna Barrientos Sahonero,Cochabamba,https://web.senado.gob.bo/senadoras-es/andrea-bruna-barrientos-sahonero,https://web.senado.gob.bo/sites/default/files/sentitulares5.jpg
22,Cecilia Isabel Requena Zárate,La Paz,https://web.senado.gob.bo/senadoras-es/cecilia-isabel-requena-z%C3%A1rate,https://web.senado.gob.bo/sites/default/files/sentitulares3.jpg
23,Cecilia Moyoviri Moye,Beni,https://web.senado.gob.bo/senadoras-es/cecilia-moyoviri-moye,https://web.senado.gob.bo/sites/default/files/sentitulares4.jpg
24,Corina Ferreira Domínguez,Pando,https://web.senado.gob.bo/senadoras-es/corina-ferreira-dom%C3%ADnguez,https://web.senado.gob.bo/sites/default/files/sentitulareSFERREIRA.jpg
25,Daly Cristina Santa María Aguirre,Potosí,https://web.senado.gob.bo/senadoras-es/daly-cristina-santa-mar%C3%ADa-aguirre,https://web.senado.gob.bo/sites/default/files/sentitulares10.jpg
26,María Vania Rocha Muñoz,Oruro,https://web.senado.gob.bo/senadoras-es/mar%C3%ADa-vania-rocha-mu%C3%B1oz,https://web.senado.gob.bo/sites/default/files/sentitulares1.jpg
27,Nely Verónica Gallo Soruco,Tarija,https://web.senado.gob.bo/senadoras-es/nely-ver%C3%B3nica-gallo-soruco,https://web.senado.gob.bo/sites/default/files/Nely%20Ver%C3%B3nica%20Gallo%20Soruco.jpg
28,Rodrigo Paz Pereira,Tarija,https://web.senado.gob.bo/senadoras-es/rodrigo-paz-pereira,https://web.senado.gob.bo/sites/default/files/Rodrigo%20Paz%20Pereira.jpg
29,Santiago Ticona Yupari,Chuquisaca,https://web.senado.gob.bo/senadoras-es/santiago-ticona-yupari,https://web.senado.gob.bo/sites/default/files/sentitulares22.jpg
30,Silvia Gilma Salame Farjat,Chuquisaca,https://web.senado.gob.bo/senadoras-es/silvia-gilma-salame-farjat,https://web.senado.gob.bo/sites/default/files/sentitulares23.jpg
31,Walter Jesús Justiniano Martínez ,Beni,https://web.senado.gob.bo/senadoras-es/walter-jes%C3%BAs-justiniano-mart%C3%ADnez,https://web.senado.gob.bo/sites/default/files/sentitulares28.jpg
32,Centa Lothy Rek López,Santa Cruz,https://web.senado.gob.bo/senadoras-es/centa-lothy-rek-l%C3%B3pez,https://web.senado.gob.bo/sites/default/files/Centa%20Lothy%20Rek%20L%C3%B3pez.jpg
33,Claudia Elena Égüez ,Beni,https://web.senado.gob.bo/senadoras-es/claudia-elena-%C3%A9g%C3%BCez,https://web.senado.gob.bo/sites/default/files/sentitulares18.jpg
34,Henry Omar Montero Mendoza,Santa Cruz,https://web.senado.gob.bo/senadoras-es/henry-omar-montero-mendoza,https://web.senado.gob.bo/sites/default/files/sentitulares19.jpg
35,Julio Diego Romaña Galindo,Pando,https://web.senado.gob.bo/senadoras-es/julio-diego-roma%C3%B1a-galindo,https://web.senado.gob.bo/sites/default/files/sentitulares16.jpg
