departamento,municipio,url,tipo
Beni,Loreto,,
Beni,San Javier,,
Beni,Santa Rosa,,
Beni,Huacaraje,,
Beni,San Joaquín,,
Beni,Magdalena,,
Beni,Santa Rosa,,
Beni,Santa Ana,,
Beni,San Borja,,
Beni,Reyes,,
Beni,Puerto Siles,,
Beni,Exaltación,,
Beni,Riberalta,,
Beni,Alto Beni,,
Beni,San Ramón,,
Beni,San Andrés,,
Beni,Baures,,
Beni,Puerto Menor de Rurrenabaque,https://rurrenabaque.gob.bo/,Sitio web
Beni,San Javier,https://www.facebook.com/gamsanxavier/,Página de Facebook
Beni,Huacaraje,https://www.facebook.com/Gobierno-Aut%C3%B3nomo-Municipal-Huacaraje-1521621167932720,Página de Facebook
Beni,San Joaquín,https://www.facebook.com/Gobierno-Autonomo-Municipal-De-San-Joaquin-523509238006618/,Página de Facebook
Beni,Puerto Siles,https://www.facebook.com/Gobierno-Aut%C3%B3nomo-Municipal-de-Puerto-Siles-103492161927689/?ref=nf&hc_ref=ARR_0zN46Vf1yZVtCOpIxDxB3JXXJ_lvi0xhxUl1mvnS6d-F27AvIfiLeiebb5BJg5k,Página de Facebook
Beni,Guayaramerín,https://guayaramerin.gob.bo/,Sitio web
Beni,Baures,https://www.facebook.com/Gobierno-Aut%C3%B3nomo-Municipal-De-Baures-1902723556626232/,Página de Facebook
Beni,Trinidad,https://www.trinidad.gob.bo/,Sitio web
Chuquisaca,San Lucas,,
Chuquisaca,Culpina,,
Chuquisaca,Las Carreras,,
Chuquisaca,Villa Abecia,,
Chuquisaca,Azurduy,,
Chuquisaca,Tarvita,,
Chuquisaca,El Villar,,
Chuquisaca,Huacaya,,
Chuquisaca,Huacareta,,
Chuquisaca,Monteagudo,,
Chuquisaca,Alcalá,,
Chuquisaca,Villa Ricardo Mugia - Icla,,
Chuquisaca,Tomina,,
Chuquisaca,Tarabuco,,
Chuquisaca,Zudañez,,
Chuquisaca,Villa Vaca Guzmán,,
Chuquisaca,Mojocoya,,
Chuquisaca,Presto,,
Chuquisaca,Poroma,,
Chuquisaca,Villa Charcas,,
Chuquisaca,Camargo,,
Chuquisaca,Sopachui,http://www.sopachuy.com/,Sitio web
Chuquisaca,Yotala,http://www.yotala.gob.bo/,Sitio web
Chuquisaca,Villa Serrano,http://www.villaserranoturistico.com/,Sitio web
Chuquisaca,varios,http://www.chuquisaca.gob.bo/,Sitio web
Chuquisaca,San Lucas,https://www.facebook.com/Gobierno-Aut%C3%B3nomo-Municipal-de-San-Lucas-109588120661423/,Página de Facebook
Chuquisaca,Culpina,https://www.facebook.com/Gobierno-Aut%C3%B3nomo-Municipal-de-Culpina-314106362337198/,Página de Facebook
Chuquisaca,Incahuasi,https://incahuasi.gob.bo/,Sitio web
Chuquisaca,Las Carreras,https://www.facebook.com/GobiernoMunicipalLasCarreras/,Página de Facebook
Chuquisaca,Villa Abecia,https://www.facebook.com/GMvillaabecia/,Página de Facebook
Chuquisaca,Azurduy,https://www.facebook.com/GobiernoMunicipalAzurduy/,Página de Facebook
Chuquisaca,Monteagudo,https://www.facebook.com/gam.monteagudo/,Página de Facebook
Chuquisaca,Yamparáez,http://gamyamparaez.com/,Sitio web
Chuquisaca,Zudañez,https://www.facebook.com/Gobierno-Autonomo-Municipal-de-Zuda%C3%B1ez-Tacopaya-599995500201671/,Página de Facebook
Chuquisaca,Villa Vaca Guzmán,https://www.facebook.com/gamvillavacaguzman/,Página de Facebook
Chuquisaca,Padilla,https://www.padillita.com/,Sitio web
Chuquisaca,Villa Serrano,https://www.facebook.com/Gobierno-Aut%C3%B3nomo-Municipal-De-Villa-Serrano-292248530964137/,Página de Facebook
Chuquisaca,Macharetí,https://machareti.org/,Sitio web
Chuquisaca,Sucre,https://sucre.bo/,Sitio web
Chuquisaca,Villa Charcas,https://www.facebook.com/Gobierno-Aut%C3%B3nomo-Municipal-de-Villa-Charcas-1749982155248741/,Página de Facebook
Cochabamba,Aiquile,,
Cochabamba,Villa Rivero,,
Cochabamba,Arbieto,,
Cochabamba,Sicaya,,
Cochabamba,Capinota,,
Cochabamba,Arque,,
Cochabamba,Omereque,,
Cochabamba,Totora,,
Cochabamba,Sipesipe,,
Cochabamba,Tarata,,
Cochabamba,Totora,,
Cochabamba,Morochata,,
Cochabamba,Sacabamba,,
Cochabamba,Toco,,
Cochabamba,Villa Gualberto Villarroel,,
Cochabamba,Tacachi,,
Cochabamba,Tacopaya,,
Cochabamba,Santivañez,,
Cochabamba,Arani,,
Cochabamba,Tapacarí,,
Cochabamba,Cocapata,,
Cochabamba,Pocona,,
Cochabamba,Ayopaya,,
Cochabamba,Pojo,,
Cochabamba,Colomi,,
Cochabamba,Alalay,,
Cochabamba,Vila Vila,,
Cochabamba,Mizque,,
Cochabamba,Pasorapa,,
Cochabamba,Quillacollo,http://www.quillacollo.gob.bo/,Sitio web
Cochabamba,Vinto,http://www.gob.a.m.vinto.bo.com/,Sitio web
Cochabamba,Bolivar,http://gambolivar.com/,Sitio web
Cochabamba,Shinahota,http://www.shinahota.com.bo/,Sitio web
Cochabamba,Entre Ríos,http://entrerioscochabamba.gob.bo/,Sitio web
Cochabamba,varios,http://saig.gobernaciondecochabamba.bo/estadistica/,Sitio web
Cochabamba,Aiquile,https://www.facebook.com/GAMAIQUILE/,Página de Facebook
Cochabamba,Villa Rivero,https://www.facebook.com/Gobierno-Autonomo-Municipal-de-Villa-Rivero-1652719168310209/,Página de Facebook
Cochabamba,Arbieto,https://www.facebook.com/Gobierno-Aut%C3%B3nomo-Municipal-de-Arbieto-475597872841842/,Página de Facebook
Cochabamba,Arque,https://www.facebook.com/GAM-Arque-110380797357627/,Página de Facebook
Cochabamba,San Benito,https://sanbenitobolivia.com/,Sitio web
Cochabamba,San Benito,https://www.facebook.com/Gobierno-Aut%C3%B3nomo-Municipal-de-San-Benito-661840184175966/,Página de Facebook
Cochabamba,Omereque,https://www.facebook.com/gamomereq,Página de Facebook
Cochabamba,Entre Ríos,http://entrerioscochabamba.gob.bo/,Sitio web
Cochabamba,Quillacollo,https://www.facebook.com/Gobierno-Aut%C3%B3nomo-Municipal-de-Quillacollo-148236102706056/,Página de Facebook
Cochabamba,Sacaba,https://sacaba.gob.bo/,Sitio web
Cochabamba,Sacaba,https://www.facebook.com/gob.municipal.sacaba/,Página de Facebook
Cochabamba,Tiquipaya,http://www.tiquipaya.gob.bo/,Sitio web
Cochabamba,Tiquipaya,https://www.facebook.com/gamtiquipaya/?fref=ts,Página de Facebook
Cochabamba,Colcapirhua,https://www.colcapirhua.gob.bo/,Sitio web
Cochabamba,Tarata,https://www.facebook.com/esteban.arze.336,Página de Facebook
Cochabamba,Anzaldo,http://anzaldobolivia.com/,Sitio web
Cochabamba,Toco,https://www.facebook.com/Gobierno-Aut%C3%B3nomo-Municipal-de-Toco-1605495173064992/,Página de Facebook
Cochabamba,Cliza,https://cliza.gob.bo/,Sitio web
Cochabamba,Cliza,https://cliza.gob.bo/transparencia,Sitio web
Cochabamba,Tolata,http://gamtolataturistica.com/,Sitio web
Cochabamba,Cochabamba,https://www.cochabamba.bo/,Sitio web
Cochabamba,Arani,https://www.facebook.com/GAMAARANI/,Página de Facebook
Cochabamba,Punata,https://punata.gob.bo/,Sitio web
Cochabamba,Tapacarí,https://www.facebook.com/gamttapacari,Página de Facebook
Cochabamba,Villa Tunari,https://www.villatunari.gob.bo/,Sitio web
Cochabamba,Chimoré,https://chimore.gob.bo/,Sitio web
Cochabamba,Tiraque,http://www.tiraque.com.bo/,Sitio web
Cochabamba,Vacas,https://municipiovacas.gob.bo/,Sitio web
Cochabamba,Puerto Villarroel,http://puertovillarroel.gob.bo/,Sitio web
Cochabamba,Colomi,https://www.facebook.com/Gobierno-Autonomo-Municipal-De-Colomi-1413748238859252/,Página de Facebook
La Paz,Chacarilla,,
La Paz,Papel Pampa,,
La Paz,Umala,,
La Paz,San Pedro de Curahuara,,
La Paz,Corocoro,,
La Paz,Sapahaqui,,
La Paz,Cairoma,,
La Paz,Colquiri,,
La Paz,Ichoca,,
La Paz,Villa Ancoraimes,,
La Paz,Puerto Mayor de Carabuco,,
La Paz,Mocomoco,,
La Paz,Inquisivi,,
La Paz,Irupana,,
La Paz,Chulumani,,
La Paz,Nazacara de Pacajes,,
La Paz,Caquiaviri,,
La Paz,Luribay,,
La Paz,Collana,,
La Paz,Catacora,,
La Paz,Yaco,,
La Paz,Calacoto,,
La Paz,Patacamaya,,
La Paz,Colquencha,,
La Paz,Santiago de Machaca,,
La Paz,Malla,,
La Paz,Comanche,,
La Paz,Calamarca,,
La Paz,Villa Libertad Licoma,,
La Paz,Quime,,
La Paz,Huatajata,,
La Paz,Laja,,
La Paz,Mecapaca,,
La Paz,Palca,,
La Paz,Achocalla,,
La Paz,Yanacachi,,
La Paz,Jesús de Machaka,,
La Paz,Puerto Mayor de Guaqui,,
La Paz,Tito Yupanqui,,
La Paz,Combaya,,
La Paz,Coripata,,
La Paz,Quiabaya,,
La Paz,Aucapata,,
La Paz,Ayo Ayo,,
La Paz,Tipuani,,
La Paz,Sorata,,
La Paz,Chuma,,
La Paz,Guanay,,
La Paz,Teoponte,,
La Paz,Mapiri,,
La Paz,Charazani,,
La Paz,Copacabana,,
La Paz,Tacacoma,,
La Paz,San Pedro de Tiquina,,
La Paz,Curva,,
La Paz,Pelechuco,,
La Paz,Palos Blancos,,
La Paz,Apolo,,
La Paz,San Buenaventura,,
La Paz,Ingavi,,
La Paz,Santiago de Huata,,
La Paz,Huarina,,
La Paz,Humanata,,
La Paz,Batallas,,
La Paz,Ixiamas,,
La Paz,Ayata,,
La Paz,Waldo Ballivian,,
La Paz,Puerto Acosta,,
La Paz,Escoma,,
La Paz,Charaña,,
La Paz,Achacachi,,
La Paz,Taraco,,
La Paz,La (Marka) San Andrés de Machaca,,
La Paz,Desaguadero,http://www.desaguadero.gob.bo/,Sitio web
La Paz,Nuestra Señora de La Paz,http://gestionresiduos.lapaz.bo/,Sitio web
La Paz,La Asunta,https://laasunta.gob.bo/,Sitio web
La Paz,Puerto Pérez,http://www.gampp.bo/,Sitio web
La Paz,Caranavi,http://caranavi.gob.bo/,Sitio web
La Paz,Chua Cocani,http://www.chuacocani.gam.bo/,Sitio web
